"species","decimalLatitude","decimalLongitude"
"Quercus ilicifolia",41.352138,-71.797834
"Quercus ilicifolia",42.453833,-71.1211
"Quercus ilicifolia",42.460958,-71.157478
"Quercus ilicifolia",41.264995,-70.086044
"Quercus ilicifolia",41.861191,-71.759178
"Quercus ilicifolia",42.856189,-72.521813
"Quercus ilicifolia",41.880596,-69.99697
"Quercus ilicifolia",39.419504,-74.616662
"Quercus ilicifolia",42.409865,-72.364553
"Quercus ilicifolia",39.641153,-76.737359
"Quercus ilicifolia",39.728331,-76.073191
"Quercus ilicifolia",42.188301,-71.560691
"Quercus ilicifolia",41.615919,-70.548413
"Quercus ilicifolia",42.408437,-72.363843
"Quercus ilicifolia",41.421061,-74.100044
"Quercus ilicifolia",41.158914,-74.820395
"Quercus ilicifolia",41.282015,-70.026148
"Quercus ilicifolia",42.379444,-71.4775
"Quercus ilicifolia",41.49476,-73.815619
"Quercus ilicifolia",42.718097,-73.863291
"Quercus ilicifolia",39.633731,-77.451099
"Quercus ilicifolia",39.754864,-74.395668
"Quercus ilicifolia",42.299696,-72.241554
"Quercus ilicifolia",41.23373,-79.405794
"Quercus ilicifolia",42.444109,-71.107297
"Quercus ilicifolia",39.454056,-79.380206
"Quercus ilicifolia",41.880612,-70.000014
"Quercus ilicifolia",42.221805,-71.061883
"Quercus ilicifolia",40.907185,-72.851192
"Quercus ilicifolia",42.442493,-71.075529
"Quercus ilicifolia",42.44201,-71.183426
"Quercus ilicifolia",42.238973,-72.274482
"Quercus ilicifolia",41.319217,-74.668037
"Quercus ilicifolia",41.294662,-70.037564
"Quercus ilicifolia",42.227573,-72.246649
"Quercus ilicifolia",42.575717,-72.543796
"Quercus ilicifolia",40.769044,-75.6934
"Quercus ilicifolia",42.060383,-72.274847
"Quercus ilicifolia",39.993813,-74.331464
"Quercus ilicifolia",41.733188,-73.589875
"Quercus ilicifolia",42.21156,-71.1145
"Quercus ilicifolia",42.042499,-73.492183
"Quercus ilicifolia",41.288814,-70.164813
"Quercus ilicifolia",40.861946,-72.628205
"Quercus ilicifolia",42.133592,-71.318984
"Quercus ilicifolia",41.460766,-73.058837
"Quercus ilicifolia",42.433263,-71.104606
"Quercus ilicifolia",41.876859,-70.653744
