"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Quercus lyrata",31.193113,-84.444533,5.09,21.25,67.554,11.196,1.638,1,"Sandy Loam",46.69122696
"Quercus lyrata",30.458984,-89.056994,4.7325,15.475,54.703,29.822,1.612775,1,"Sandy Loam",14.94726753
"Quercus lyrata",35.318475,-80.739088,5.96666666666667,23.8,43.3533333333333,32.8466666666667,1.312,0,"Loam",180.4400482
"Quercus lyrata",38.886934,-76.540169,4.82825,18.10675,66.01725,15.876,1.527475,0,"Sandy Loam",0.736594856
"Quercus lyrata",35.009244,-80.831851,5.96666666666667,23.8,43.3533333333333,32.8466666666667,1.312,0,"Loam",176.7041626
"Quercus lyrata",32.57238,-81.310888,5,46.775,19.5795,33.6455,1.349,0,"Clay",9.304080009
"Quercus lyrata",35.342561,-90.223233,6.956,30.725,18.471,50.804,1.4956,0,"Silty Clay Loam",64.02245331
"Quercus lyrata",39.057442,-77.252813,4.823,20.7575,43.34,35.9025,1.39205,0,"Loam",80.16362762
"Quercus lyrata",29.768173,-85.04312,4.8995,4.289,93.0845,2.6265,1.5337,0.1,"Loamy Sand",0.921257675
"Quercus lyrata",29.9825,-95.58043,5.56,22.135,37.255,40.61,1.571,0.175,"Loam",35.29962158
"Quercus lyrata",33.9482,-83.379182,5.316,38.4,38.116,23.484,1.5108,0,"Clay Loam",202.5543213
"Quercus lyrata",34.523598,-89.401787,5.1,26.1166666666667,11.7083333333333,62.175,1.4655,0,"Silt Loam",82.18621826
"Quercus lyrata",33.640686,-90.927933,6.603,61.1346666666667,7.58066666666667,31.2846666666667,1.26633333333333,1.27266666666667,"Clay",39.32071686
"Quercus lyrata",35.0384,-91.586638,5.1105,21.18,15.7785,63.0415,1.4993,0.25,"Silt Loam",56.79435349
"Quercus lyrata",39.05725,-77.249992,5.04471744471744,21.8611793611794,29.0832923832924,49.0555282555283,1.37727272727273,0,"Loam",88.70916748
"Quercus lyrata",31.335312,-91.61152,6.83825,50.734,13.592,35.674,1.29205,0.25,"Clay",12.51872063
"Quercus lyrata",30.789813,-84.670488,5,31.3525,57.682,10.9655,1.4948,0,"Sandy Clay Loam",23.28519058
"Quercus lyrata",35.323664,-77.316954,6.798,13.6075,68.6785,17.714,1.33705,0,"Sandy Loam",1.677358747
"Quercus lyrata",33.782278,-84.258913,5.5,41.38,31.166,27.454,1.4106,0,"Clay",317.2319641
"Quercus lyrata",31.611115,-94.651299,5.415,22.47,59.898,17.632,1.5001,0,"Sandy Loam",93.3989563
"Quercus lyrata",37.304263,-89.017295,6.76,31,10.6,58.4,1.38,0,"Silty Clay Loam",99.91372681
"Quercus lyrata",35.95305,-86.81005,5.6,28.02,6.866,65.114,1.3934,0,"Silty Clay Loam",222.3044739
"Quercus lyrata",33.811186,-80.785176,5.14,41.305,15.113,43.582,1.3785,0,"Silty Clay",27.78681183
"Quercus lyrata",29.820764,-95.634012,7.664,13.568,42.884,43.548,1.5708,1,"Loam",27.22199059
"Quercus lyrata",33.740805,-94.643303,5.76866666666667,31.3433333333333,31.3526666666667,37.304,1.43066666666667,0.5,"Clay Loam",101.8505096
"Quercus lyrata",30.747369,-87.924522,4.62,16.50875,6.487,20.28425,0.6375,0.75,"Silty Clay",0.330987662
"Quercus lyrata",34.600188,-91.118466,6.248,24.85,9.50933333333333,65.6406666666667,1.47183333333333,0,"Silt Loam",53.46246338
"Quercus lyrata",38.967137,-75.938015,6.044,9.34,71.08,19.58,1.651,0,"Sandy Loam",10.99320698
"Quercus lyrata",33.308382,-88.849154,5.14125,37.47875,20.855,41.66625,1.44705,0.325,"Silty Clay",72.07803345
"Quercus lyrata",33.575004,-91.579156,5.3,24.31,8.52,67.17,1.4692,0,"Silt Loam",52.92835999
"Quercus lyrata",30.564375,-88.624511,4.98171428571429,29.6171428571429,37.7401428571429,32.6427142857143,1.47191428571429,0.785714285714286,"Clay Loam",1.870215654
"Quercus lyrata",29.42186,-95.36038,7.81,55.105,10.619,34.276,1.2013,0.787,"Clay",11.41074562
"Quercus lyrata",30.812861,-94.023536,5.102,38.505,34.912,26.583,1.427,0.5,"Clay Loam",65.26777649
"Quercus lyrata",33.748542,-94.645638,5.76866666666667,31.3433333333333,31.3526666666667,37.304,1.43066666666667,0.5,"Clay Loam",101.9527969
"Quercus lyrata",33.045155,-92.125893,5,40.15,16.234,43.616,1.5,0,"Silty Clay",19.72798729
"Quercus lyrata",32.541727,-87.803877,4.8575,39.3775,23.381,37.2415,1.44235,0,"Clay Loam",24.57934952
"Quercus lyrata",33.826417,-80.819428,5.14,41.305,15.113,43.582,1.3785,0,"Silty Clay",29.93131256
"Quercus lyrata",34.903538,-93.07093,5.01570680628272,30.2434554973822,36.3523560209424,33.4041884816754,1.47910994764398,0,"Clay Loam",131.419342
"Quercus lyrata",39.057081,-77.249795,4.823,20.7575,43.34,35.9025,1.39205,0,"Loam",89.74636841
"Quercus lyrata",32.661313,-85.482578,5.8,10.435,65.849,23.716,1.463,0,"Sandy Loam",187.0774536
