"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Quercus minima",25.651572,-80.400447,7.63809523809524,11.7559523809524,35.7023809523809,52.5416666666667,1.3847619047619,3.58333333333333,"Silt Loam",1.728000045
"Quercus minima",27.070742,-82.2809,5.32083333333333,2.495,96.2938333333333,1.21116666666667,1.5643,1,"Loamy Sand",2.828072309
"Quercus minima",27.590307,-82.236995,5.1642,0.804,98.0524,1.1436,1.60032,1,"Loamy Sand",36.49517059
"Quercus minima",29.669384,-82.310418,5.26666666666667,8.26833333333333,87.9986666666667,3.733,1.5258,0.1,"Loamy Sand",54.37001801
"Quercus minima",27.656776,-80.947792,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",20.56159401
"Quercus minima",29.693255,-85.298692,4.944,1.68275,96.38475,1.9325,1.551775,0.1,"Loamy Sand",2.268440247
"Quercus minima",27.854203,-81.383842,5.2212,2.0208,97.0228,0.9564,1.48822,0.1,"Loamy Sand",19.92139053
"Quercus minima",27.57899,-81.044685,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",19.00527191
"Quercus minima",27.669652,-81.010895,5.12383333333333,2.06916666666667,97.0721666666667,0.858666666666667,1.5678,1,"Loamy Sand",20.32606316
"Quercus minima",27.827477,-80.568033,5.5876,3.081,94.8744,2.0446,1.6036,1,"Loamy Sand",7.167021275
"Quercus minima",29.838125,-81.851806,4.8,1.1586,94.5,2.7634,1.48486,0.1,"Loamy Sand",39.24240494
"Quercus minima",29.696011,-81.460275,6.021,3.70785714285714,93.9107142857143,2.38142857142857,1.5822,1,"Loamy Sand",5.344343185
"Quercus minima",28.488591,-81.104385,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",19.08258438
"Quercus minima",27.220656,-82.281678,5.32083333333333,2.495,96.2938333333333,1.21116666666667,1.5643,1,"Loamy Sand",8.257377625
"Quercus minima",30.403712,-86.906765,5.48933333333333,1.68033333333333,95.2426666666667,3.077,1.5659,0.1,"Loamy Sand",10.45624352
"Quercus minima",26.869232,-82.254795,5.12383333333333,2.06916666666667,97.0721666666667,0.858666666666667,1.5678,1,"Loamy Sand",1.945348382
"Quercus minima",27.775453,-81.467129,5.05833333333333,1.464,97.072,1.464,1.54503333333333,0.1,"Loamy Sand",29.29441071
"Quercus minima",26.442303,-81.83722,5.75171428571429,2.26214285714286,96.1205714285714,1.61728571428571,1.57975714285714,1,"Loamy Sand",1.848985434
"Quercus minima",30.119745,-81.894312,5.02,1.1102,94.5,2.6446,1.47848,0.1,"Loamy Sand",24.75413322
"Quercus minima",27.646487,-80.933788,5.87928571428571,2.24642857142857,96.6864285714286,1.06714285714286,1.54832857142857,1,"Loamy Sand",20.78804207
"Quercus minima",27.649409,-80.891355,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",21.45087814
"Quercus minima",27.582576,-81.057541,5.5798,1.8564,97.1416,1.002,1.57908,1,"Loamy Sand",17.93672752
"Quercus minima",29.011319,-81.396985,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",2.875813007
"Quercus minima",28.704334,-81.123679,5.44166666666667,2.41125,95.923717948718,0.984935897435897,1.22455,0.1,"Loamy Sand",8.889300346
"Quercus minima",26.99643,-80.149672,5.1585,1.9,96.85675,1.24325,1.512675,0.1,"Loamy Sand",2.192764759
"Quercus minima",28.481471,-81.12107,6.021,3.70785714285714,93.9107142857143,2.38142857142857,1.5822,1,"Loamy Sand",15.662467
"Quercus minima",27.183963,-81.35497,5.4496,1.6312,97.1444,1.2244,1.60214,1,"Loamy Sand",42.47620392
"Quercus minima",30.278818,-82.479676,4.894,2.34475,94.7185,2.93675,1.57665,0.1,"Loamy Sand",44.63145828
"Quercus minima",28.036206,-81.008513,5.214,2.747,95.9548,1.2982,1.55622,1,"Loamy Sand",19.75864792
"Quercus minima",26.620696,-81.427747,5.6952,2.5424,96.0938,1.3638,1.58436,1,"Loamy Sand",8.96543026
"Quercus minima",27.167397,-80.460625,5.55989583333333,2.28159722222222,96.3342013888889,1.38420138888889,1.593125,1,"Loamy Sand",8.684370995
"Quercus minima",28.17376,-81.159413,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",22.74043846
"Quercus minima",28.353056,-81.202013,5.48775,1.52825,96.126,2.34575,1.463675,0.0775,"Loamy Sand",21.3524189
"Quercus minima",28.503547,-80.988049,6.31833333333333,5.53166666666667,90.8893333333333,3.579,1.53833333333333,0.1,"Loamy Sand",8.536231995
"Quercus minima",27.633747,-81.332017,5.5196,2.1084,96.8138,1.0778,1.58938,1,"Loamy Sand",19.23100853
"Quercus minima",28.486381,-81.097255,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",19.9561615
"Quercus minima",26.733062,-82.063483,5.4655,1.7985,96.6395,1.562,1.60815,1,"Loamy Sand",1.167840481
"Quercus minima",27.805817,-82.362572,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",9.721200943
"Quercus minima",30.089558,-85.042314,5.2956,20.48,69.556,9.964,1.62708,1,"Sandy Loam",11.44484997
"Quercus minima",26.973435,-81.89183,5.4655,1.7985,96.6395,1.562,1.60815,1,"Loamy Sand",5.033602715
"Quercus minima",28.490444,-81.111868,5.48775,1.52825,96.126,2.34575,1.463675,0.0775,"Loamy Sand",16.94904137
"Quercus minima",28.488327,-81.10376,5.03875,5.135,91.9725,2.8925,1.550325,0.1,"Loamy Sand",19.1777668
"Quercus minima",27.003464,-80.100915,5.55366666666667,0.833333333333333,98.3333333333333,0.833333333333333,1.53458333333333,0.1,"Loamy Sand",6.840777874
"Quercus minima",28.035597,-80.991514,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",19.21548843
"Quercus minima",30.404772,-85.86415,5.57166666666667,1.86666666666667,93.3083333333333,4.825,1.55766666666667,0.1,"Loamy Sand",15.47142124
"Quercus minima",29.565195,-82.189637,4.8632,4.786,91.952,3.262,1.52718,0.1,"Loamy Sand",30.21732521
"Quercus minima",25.974915,-80.253618,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",2.010454416
"Quercus minima",29.643197,-81.261006,5.5716,1.414,97.6318,0.9542,1.55714,1,"Loamy Sand",6.829713345
"Quercus minima",27.655563,-80.946512,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",20.62748909
"Quercus minima",28.602442,-81.189273,5.48775,1.52825,96.126,2.34575,1.463675,0.0775,"Loamy Sand",18.63991928
"Quercus minima",28.074216,-81.425515,5.16642857142857,2.275,96.6941428571429,1.03085714285714,1.48958571428571,0.1,"Loamy Sand",18.82176971
"Quercus minima",27.429595,-82.345915,4.9812,3.76,94.7274,1.5126,1.51838,0.1,"Loamy Sand",14.98840714
"Quercus minima",27.659303,-80.948723,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",20.51971436
"Quercus minima",28.093628,-81.018568,5.87928571428571,2.24642857142857,96.6864285714286,1.06714285714286,1.54832857142857,1,"Loamy Sand",20.81038284
"Quercus minima",30.399913,-81.92727,4.775,3.8525,90.9155,5.232,1.55065,0.1,"Loamy Sand",23.80835342
"Quercus minima",27.677767,-80.992939,5.10366666666667,1.8085,97.4488333333333,0.742666666666667,1.57363333333333,1,"Loamy Sand",20.26189232
"Quercus minima",28.483006,-81.107994,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",19.10605812
"Quercus minima",28.747581,-82.463114,5.18575,1.75625,97.27625,0.9675,1.572825,1,"Loamy Sand",23.29263496
"Quercus minima",26.996855,-80.149147,5.1585,1.9,96.85675,1.24325,1.512675,0.1,"Loamy Sand",1.779289484
"Quercus minima",27.594645,-81.280472,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",20.42468262
"Quercus minima",28.026543,-80.949315,5.48775,1.52825,96.126,2.34575,1.463675,0.0775,"Loamy Sand",18.85702705
"Quercus minima",28.482975,-81.108055,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",19.11047363
"Quercus minima",28.497598,-81.120814,5.47725,5.74875,91.271,2.98025,1.55975,0.1,"Loamy Sand",16.531744
"Quercus minima",27.685415,-80.89856,5.22866666666667,2.43166666666667,96.3738333333333,1.1945,1.55626666666667,1,"Loamy Sand",18.91080475
"Quercus minima",30.371737,-84.445628,5.02475,3.099,89.2265,7.6745,1.48445,0.1,"Loamy Sand",31.5509758
"Quercus minima",30.280416,-87.623361,4.95,3.26666666666667,66.9466666666667,4.45333333333333,1.23666666666667,0,"Loamy Sand",5.370218277
"Quercus minima",30.502333,-85.016667,4.46345381526104,22.3923333333333,60.242,17.3656666666667,1.51343333333333,0.1,"Sandy Loam",15.43188286
"Quercus minima",30.655901,-86.970483,5.22066666666667,10.0015,82.1448333333333,7.85366666666667,1.64473333333333,0.301,"Sandy Loam",25.3884182
"Quercus minima",30.18944,-82.63944,5.175,1.877,94.3295,3.7935,1.528425,0.1,"Loamy Sand",59.55144119
"Quercus minima",30.617186,-87.581707,4.7,10.47,71.25,18.28,1.64,0,"Sandy Loam",32.13955307
"Quercus minima",29.049698,-81.496517,5.41232638888889,2.52777777777778,96.1789930555556,1.29322916666667,1.56734375,1,"Loamy Sand",11.97804356
"Quercus minima",28.492384,-81.123084,5.036,3.548,94.713,1.739,1.5127,0.1,"Loamy Sand",15.39557266
"Quercus minima",27.035424,-81.393975,5.87928571428571,2.24642857142857,96.6864285714286,1.06714285714286,1.54832857142857,1,"Loamy Sand",24.49128151
"Quercus minima",29.675448,-82.011099,5.68728323699422,4.85356454720617,92.5782273603083,2.56820809248555,1.39558333333333,1,"Loamy Sand",27.87755775
