"species","decimalLatitude","decimalLongitude"
"Quercus rubra",44.215242,-84.710853
"Quercus rubra",43.62887,-73.001304
"Quercus rubra",43.874728,-73.602084
"Quercus rubra",44.416747,-72.917733
"Quercus rubra",41.484603,-81.556792
"Quercus rubra",44.830926,-85.722502
"Quercus rubra",45.292447,-92.78695
"Quercus rubra",41.020103,-75.023072
"Quercus rubra",42.303572,-72.338123
"Quercus rubra",38.991677,-77.965828
"Quercus rubra",43.648822,-73.61093
"Quercus rubra",40.54947,-74.342262
"Quercus rubra",44.40424,-72.952374
"Quercus rubra",36.214244,-81.687643
"Quercus rubra",42.149143,-87.786078
"Quercus rubra",44.376914,-73.806794
"Quercus rubra",44.34994,-72.354377
"Quercus rubra",47.425686,-91.150978
"Quercus rubra",38.830685,-77.070609
"Quercus rubra",43.513745,-72.103685
"Quercus rubra",42.497505,-70.891833
"Quercus rubra",40.908247,-73.14984
"Quercus rubra",43.513314,-72.104549
"Quercus rubra",42.307492,-71.341411
"Quercus rubra",43.510096,-72.098547
"Quercus rubra",42.989563,-71.876322
"Quercus rubra",46.849466,-92.027753
"Quercus rubra",41.741034,-74.233884
"Quercus rubra",38.794488,-77.311805
"Quercus rubra",41.831667,-86.625263
"Quercus rubra",40.101356,-82.900362
"Quercus rubra",39.910386,-75.382617
"Quercus rubra",40.868248,-73.871284
"Quercus rubra",44.032658,-73.158128
"Quercus rubra",43.630069,-72.530095
"Quercus rubra",40.873398,-73.968219
"Quercus rubra",44.21398,-72.589058
"Quercus rubra",35.81068,-84.90345
"Quercus rubra",46.560574,-87.402342
"Quercus rubra",39.639255,-76.65577
"Quercus rubra",43.511193,-72.098049
"Quercus rubra",42.850152,-88.41753
"Quercus rubra",46.072656,-89.64868
"Quercus rubra",42.7,-84.4
"Quercus rubra",41.220531,-81.540417
"Quercus rubra",44.382427,-68.2543
"Quercus rubra",43.514055,-72.113361
"Quercus rubra",37.712478,-89.227372
"Quercus rubra",44.878269,-73.300954
"Quercus rubra",41.529935,-72.541756
"Quercus rubra",42.377853,-72.426676
"Quercus rubra",43.506915,-72.09855
"Quercus rubra",40.925305,-80.175538
"Quercus rubra",40.789936,-73.964611
"Quercus rubra",43.675033,-72.255561
"Quercus rubra",40.562178,-74.642733
"Quercus rubra",41.476348,-73.807872
"Quercus rubra",41.190161,-81.584165
"Quercus rubra",41.48985,-87.543525
"Quercus rubra",40.781313,-75.292322
"Quercus rubra",40.67827,-74.33443
"Quercus rubra",43.096203,-71.032226
"Quercus rubra",41.981426,-87.742524
"Quercus rubra",38.967564,-80.322621
"Quercus rubra",42.100677,-80.074804
"Quercus rubra",40.595005,-75.52993
"Quercus rubra",43.17939,-73.011918
"Quercus rubra",47.34127,-91.265113
"Quercus rubra",38.846539,-77.101364
"Quercus rubra",42.73878,-71.470839
"Quercus rubra",39.44923,-82.114876
"Quercus rubra",41.805042,-85.748548
"Quercus rubra",42.469503,-76.478118
"Quercus rubra",37.378363,-80.156067
"Quercus rubra",44.212209,-72.590861
"Quercus rubra",43.339142,-71.260375
"Quercus rubra",42.745978,-71.243151
"Quercus rubra",44.453728,-73.228163
"Quercus rubra",40.270374,-76.835869
"Quercus rubra",36.862801,-82.770187
"Quercus rubra",41.611834,-71.758818
"Quercus rubra",42.596122,-72.574897
"Quercus rubra",34.35028,-94.389284
"Quercus rubra",40.776737,-74.433459
"Quercus rubra",37.727393,-83.627662
"Quercus rubra",40.87965,-73.565239
"Quercus rubra",43.515226,-72.097779
"Quercus rubra",37.079171,-79.61561
"Quercus rubra",45.382755,-84.507794
"Quercus rubra",44.45802,-72.327125
"Quercus rubra",46.46877,-84.640555
"Quercus rubra",46.718977,-94.403277
"Quercus rubra",44.758488,-86.076928
"Quercus rubra",42.776822,-84.763895
"Quercus rubra",43.881701,-72.371119
"Quercus rubra",36.46977,-94.260398
"Quercus rubra",39.078278,-76.770972
"Quercus rubra",35.928669,-78.966538
"Quercus rubra",42.685248,-89.484327
"Quercus rubra",43.519606,-72.113486
"Quercus rubra",44.292533,-72.684172
"Quercus rubra",46.812133,-92.108786
"Quercus rubra",35.480331,-82.608833
