"species","decimalLatitude","decimalLongitude"
"Quercus sinuata",29.158947,-95.771733
"Quercus sinuata",32.313502,-87.126103
"Quercus sinuata",29.341697,-95.940036
"Quercus sinuata",30.320104,-94.83384
"Quercus sinuata",31.299905,-97.471162
"Quercus sinuata",32.229306,-87.497346
"Quercus sinuata",29.587594,-97.583031
"Quercus sinuata",30.508318,-97.761306
"Quercus sinuata",32.576057,-87.462231
"Quercus sinuata",29.888888,-96.877145
"Quercus sinuata",29.184581,-95.781669
"Quercus sinuata",31.201437,-97.484658
"Quercus sinuata",33.62,-96.6328
"Quercus sinuata",32.021545,-92.013515
"Quercus sinuata",33.817896,-94.067137
"Quercus sinuata",30.314369,-97.674981
"Quercus sinuata",32.908753,-88.319558
"Quercus sinuata",32.486338,-83.577247
"Quercus sinuata",32.470597,-83.51423
"Quercus sinuata",32.222726,-86.646174
"Quercus sinuata",31.812939,-82.823665
"Quercus sinuata",32.449011,-83.452597
"Quercus sinuata",32.503769,-83.480391
"Quercus sinuata",32.419958,-83.468483
"Quercus sinuata",32.325748,-89.499244
"Quercus sinuata",31.794433,-82.979671
"Quercus sinuata",32.294272,-82.695511
"Quercus sinuata",33.140217,-81.684454
"Quercus sinuata",33.1285,-81.654556
"Quercus sinuata",32.821472,-81.412056
"Quercus sinuata",31.794119,-82.978944
"Quercus sinuata",33.78725,-82.203805
"Quercus sinuata",30.845105,-85.265018
"Quercus sinuata",32.496594,-83.528172
"Quercus sinuata",34.693556,-87.731501
"Quercus sinuata",32.4928,-83.541813
"Quercus sinuata",32.491511,-83.548386
"Quercus sinuata",32.256857,-86.657727
"Quercus sinuata",33.823207,-82.102666
"Quercus sinuata",31.325173,-85.019193
"Quercus sinuata",34.685469,-87.740944
"Quercus sinuata",33.760843,-88.853257
"Quercus sinuata",33.519024,-88.57247
"Quercus sinuata",33.04745,-88.24944
"Quercus sinuata",32.908573,-88.319347
"Quercus sinuata",31.101703,-97.469575
"Quercus sinuata",32.316806,-87.101379
"Quercus sinuata",32.302412,-87.325096
"Quercus sinuata",33.822726,-82.112754
"Quercus sinuata",33.822823,-82.102852
"Quercus sinuata",32.287907,-87.319885
"Quercus sinuata",32.43097,-83.467344
"Quercus sinuata",30.619347,-97.702575
"Quercus sinuata",32.890511,-88.275536
"Quercus sinuata",29.184919,-95.781172
"Quercus sinuata",31.297853,-97.47072
"Quercus sinuata",32.511429,-87.875984
"Quercus sinuata",31.101664,-97.469308
"Quercus sinuata",29.185231,-95.780267
"Quercus sinuata",29.665784,-95.019373
"Quercus sinuata",32.310938,-87.126983
"Quercus sinuata",32.28005,-87.40456
"Quercus sinuata",32.8285,-81.3489
"Quercus sinuata",30.515047,-97.718736
"Quercus sinuata",31.248763,-97.471825
"Quercus sinuata",29.583807,-97.581828
"Quercus sinuata",29.335008,-95.963772
"Quercus sinuata",29.15336,-95.76738
"Quercus sinuata",32.337754,-95.284241
"Quercus sinuata",31.506,-97.205006
"Quercus sinuata",31.549333,-97.14667
"Quercus sinuata",32.81304,-88.30503
"Quercus sinuata",32.439295,-87.322591
"Quercus sinuata",30.515846,-91.187638
"Quercus sinuata",32.336466,-89.443366
"Quercus sinuata",29.586295,-97.582324
"Quercus sinuata",29.891617,-96.874047
"Quercus sinuata",29.583081,-97.581489
"Quercus sinuata",33.88,-86.84
"Quercus sinuata",33.01,-87.07
"Quercus sinuata",32.177222,-87.5
"Quercus sinuata",32.016,-92.116
"Quercus sinuata",29.309203,-95.886036
"Quercus sinuata",29.648563,-95.929358
"Quercus sinuata",29.332986,-95.969136
"Quercus sinuata",31.202803,-97.492247
"Quercus sinuata",32.257329,-89.243596
"Quercus sinuata",29.887813,-96.874245
"Quercus sinuata",32.2861,-89.389
"Quercus sinuata",32.880278,-88.592222
"Quercus sinuata",32.187778,-89.458333
"Quercus sinuata",32.1925,-89.2658
"Quercus sinuata",32.159,-89.3405
"Quercus sinuata",32.186634,-89.322021
"Quercus sinuata",32.1853,-89.4173
"Quercus sinuata",32.2096,-88.8218
"Quercus sinuata",32.53103,-89.8597
"Quercus sinuata",32.28694,-89.3889
"Quercus sinuata",33.510556,-88.728611
"Quercus sinuata",32.9392,-88.3871
"Quercus sinuata",29.15257,-95.76617
"Quercus sinuata",30.28725,-97.73365
"Quercus sinuata",30.15408,-99.23013
"Quercus sinuata",31.502307,-97.226782
"Quercus sinuata",33.661793,-93.832185
"Quercus sinuata",32.76666,-96.8
"Quercus sinuata",32.487072,-83.577042
"Quercus sinuata",29.8883,-96.876167
"Quercus sinuata",31.201655,-97.484213
"Quercus sinuata",33.151361,-81.677833
"Quercus sinuata",33.018521,-87.07807
"Quercus sinuata",29.185641,-95.7782
"Quercus sinuata",33.0468,-87.0784
"Quercus sinuata",31.570042,-97.145297
"Quercus sinuata",32.143502,-87.397718
"Quercus sinuata",32.250881,-86.088743
"Quercus sinuata",32.595888,-85.482862
"Quercus sinuata",31.249505,-97.472687
"Quercus sinuata",29.260122,-95.863494
"Quercus sinuata",32.407359,-87.021101
"Quercus sinuata",32.351245,-86.212326
"Quercus sinuata",29.589072,-97.583467
"Quercus sinuata",31.201447,-97.491263
"Quercus sinuata",29.587575,-97.581722
"Quercus sinuata",30.286322,-97.733769
"Quercus sinuata",29.888322,-96.875947
"Quercus sinuata",31.017583,-97.526345
"Quercus sinuata",31.224428,-97.458962
"Quercus sinuata",30.260042,-97.737383
"Quercus sinuata",31.299497,-97.476937
"Quercus sinuata",32.81089,-96.800949
"Quercus sinuata",31.300058,-97.471808
"Quercus sinuata",29.887612,-96.874175
"Quercus sinuata",31.536828,-97.430231
"Quercus sinuata",29.888088,-96.874183
"Quercus sinuata",32.311858,-87.120453
"Quercus sinuata",31.589406,-97.160806
"Quercus sinuata",31.298313,-97.47107
"Quercus sinuata",31.29887,-97.466958
"Quercus sinuata",29.310336,-95.88667
"Quercus sinuata",29.584477,-97.583656
"Quercus sinuata",30.280875,-97.751031
"Quercus sinuata",29.588486,-97.581928
"Quercus sinuata",29.888978,-96.875075
"Quercus sinuata",31.299763,-97.467537
