"species","decimalLatitude","decimalLongitude"
"Quercus texana",35.840322,-90.684732
"Quercus texana",34.690439,-91.315858
"Quercus texana",33.661793,-93.832185
"Quercus texana",33.237969,-91.51151
"Quercus texana",33.73511,-97.45724
"Quercus texana",32.72135,-96.852091
"Quercus texana",36.423333,-90.131389
"Quercus texana",30.449266,-94.899388
"Quercus texana",32.640285,-90.595686
"Quercus texana",31.496839,-92.859322
"Quercus texana",34.792619,-91.458805
"Quercus texana",37.144959,-89.332646
"Quercus texana",37.215526,-89.680865
"Quercus texana",34.437988,-86.592022
"Quercus texana",34.92587,-88.039416
"Quercus texana",37.207993,-89.701276
"Quercus texana",35.342694,-89.488283
"Quercus texana",33.052155,-91.414179
"Quercus texana",33.424006,-90.915101
"Quercus texana",36.383215,-90.330916
"Quercus texana",31.821159,-92.971237
"Quercus texana",34.833063,-91.458297
"Quercus texana",34.384213,-91.106477
"Quercus texana",32.499221,-92.11571
"Quercus texana",31.38238,-87.957329
"Quercus texana",31.274141,-92.467008
"Quercus texana",34.785062,-91.458462
"Quercus texana",36.521176,-90.414228
"Quercus texana",35.144551,-90.001859
"Quercus texana",36.857456,-89.580785
"Quercus texana",34.31862,-87.450908
"Quercus texana",35.22771,-91.467358
"Quercus texana",32.640849,-88.679611
"Quercus texana",33.41246,-90.229218
"Quercus texana",32.320146,-89.672851
"Quercus texana",32.821501,-90.778058
"Quercus texana",33.798115,-89.459535
"Quercus texana",31.370256,-91.162502
"Quercus texana",31.611158,-90.726252
"Quercus texana",33.714302,-89.654682
"Quercus texana",33.825114,-88.543655
"Quercus texana",31.330466,-91.359377
"Quercus texana",33.9717,-89.1371
"Quercus texana",33.786111,-88.849444
"Quercus texana",32.497027,-92.131477
"Quercus texana",33.26694,-93.23917
"Quercus texana",36.33061,-90.71591
"Quercus texana",36.408776,-90.518826
"Quercus texana",35.333697,-90.068424
"Quercus texana",30.290647,-97.787104
"Quercus texana",30.24,-98.07
"Quercus texana",36.469218,-90.154609
"Quercus texana",34.302114,-92.001797
"Quercus texana",32.771556,-97.29124
"Quercus texana",30.267153,-97.743061
"Quercus texana",35.00625,-91.252954
"Quercus texana",30.138219,-98.40116
"Quercus texana",36.411155,-90.596313
"Quercus texana",34.477733,-97.153394
"Quercus texana",31.89016,-97.69976
"Quercus texana",31.537389,-97.110001
"Quercus texana",31.923208,-97.656689
"Quercus texana",33.050893,-88.251143
"Quercus texana",30.066591,-90.480085
"Quercus texana",31.583609,-97.156096
"Quercus texana",31.526636,-97.136505
"Quercus texana",30.097382,-90.4445
"Quercus texana",31.557111,-97.096945
"Quercus texana",32.375144,-91.341024
"Quercus texana",36.52333,-90.42194
"Quercus texana",30.369751,-97.861914
"Quercus texana",34.711655,-91.72373
"Quercus texana",33.328615,-92.534902
"Quercus texana",36.44427,-89.384929
"Quercus texana",33.11,-87.58
"Quercus texana",33.07,-87.55
"Quercus texana",33.13,-86.36
"Quercus texana",33.17,-87.61
"Quercus texana",33.158562,-92.115952
"Quercus texana",36.4085,-90.518039
"Quercus texana",36.4087,-90.518159
"Quercus texana",30.383333,-91.183333
"Quercus texana",30.414625,-91.176222
"Quercus texana",29.9426,-89.9874
"Quercus texana",30.199649,-92.630634
"Quercus texana",30.719069,-93.650326
"Quercus texana",29.8056,-90.1192
"Quercus texana",29.793583,-90.12368
"Quercus texana",36.418768,-90.6234
"Quercus texana",32.906389,-90.71
"Quercus texana",31.37026,-91.1625
"Quercus texana",33.71076,-89.65925
"Quercus texana",32.201389,-89.256389
"Quercus texana",34.371767,-91.136506
"Quercus texana",33.423647,-90.986143
"Quercus texana",34.11571,-90.27492
"Quercus texana",33.47369,-90.90251
"Quercus texana",32.42806,-90.7286
"Quercus texana",34.023712,-91.34373
"Quercus texana",33.47441,-90.9826
"Quercus texana",30.6536,-89.8304
"Quercus texana",33.8209,-88.5182
"Quercus texana",32.0089,-91.0317
"Quercus texana",30.081858,-90.414047
"Quercus texana",33.689444,-90.163889
"Quercus texana",32.738,-89.492
"Quercus texana",34.500375,-91.552628
"Quercus texana",30.357537,-91.130595
"Quercus texana",34.217192,-91.142769
"Quercus texana",34.522535,-91.267192
"Quercus texana",33.711045,-91.449735
"Quercus texana",34.895417,-92.066248
"Quercus texana",34.51271,-91.267697
"Quercus texana",33.37129,-91.192391
"Quercus texana",33.205675,-91.286502
"Quercus texana",34.895477,-92.069454
"Quercus texana",34.856205,-91.300682
"Quercus texana",34.884872,-91.365899
"Quercus texana",34.528275,-90.580711
"Quercus texana",34.502024,-90.604133
"Quercus texana",34.08714,-90.135427
"Quercus texana",29.167828,-95.434256
"Quercus texana",36.408814,-90.517593
"Quercus texana",36.523333,-90.385555
"Quercus texana",36.508333,-90.603056
"Quercus texana",36.408824,-90.518859
"Quercus texana",34.671,-82.822028
"Quercus texana",34.671167,-82.821833
"Quercus texana",36.4284,-90.51419
"Quercus texana",33.692363,-97.557365
"Quercus texana",31.205,-87.830559
"Quercus texana",32.595888,-85.482862
"Quercus texana",29.630667,-98.682073
"Quercus texana",32.939308,-97.506797
"Quercus texana",29.13166,-95.78866
"Quercus texana",30.21,-97.77
"Quercus texana",33.237897,-91.51151
"Quercus texana",33.735596,-91.363864
"Quercus texana",29.720444,-91.190204
"Quercus texana",32.435065,-90.15058
"Quercus texana",29.133435,-95.791728
"Quercus texana",29.13334,-95.79177
"Quercus texana",30.461967,-91.186343
"Quercus texana",35.474578,-90.788966
"Quercus texana",34.860353,-86.197922
"Quercus texana",36.418654,-90.623492
"Quercus texana",32.64931,-93.168144
"Quercus texana",29.129686,-95.768649
"Quercus texana",30.35929,-91.130845
"Quercus texana",29.12078,-95.75842
"Quercus texana",36.408983,-89.414817
"Quercus texana",29.119,-95.75234
"Quercus texana",29.635455,-95.65995
"Quercus texana",30.10036,-90.754362
"Quercus texana",31.04226,-91.842375
"Quercus texana",31.598641,-91.209145
"Quercus texana",36.42765,-90.51475
"Quercus texana",33.15969,-92.119408
"Quercus texana",36.408822,-90.515835
"Quercus texana",29.978017,-90.137932
"Quercus texana",31.444051,-91.453416
"Quercus texana",30.568243,-91.164778
"Quercus texana",32.695834,-90.816929
"Quercus texana",34.113128,-90.135708
"Quercus texana",30.40887,-91.107806
"Quercus texana",29.764766,-95.572504
"Quercus texana",30.502852,-90.460768
"Quercus texana",31.335424,-91.612846
"Quercus texana",30.307978,-98.243628
"Quercus texana",33.789084,-88.520447
"Quercus texana",30.4125,-91.188333
"Quercus texana",32.480278,-91.958333
"Quercus texana",34.432778,-97.190833
"Quercus texana",34.83,-96.484722
"Quercus texana",36.50833,-90.60305
"Quercus texana",36.53166,-91.29916
"Quercus texana",36.408676,-90.518159
"Quercus texana",34.379468,-91.129138
"Quercus texana",34.225432,-91.124661
"Quercus texana",32.241662,-90.723582
"Quercus texana",31.08639,-91.54806
"Quercus texana",33.825,-88.54361
"Quercus texana",34.845139,-89.443742
"Quercus texana",31.215727,-91.521907
"Quercus texana",34.302449,-88.653947
"Quercus texana",32.834534,-90.792507
"Quercus texana",30.779942,-88.884626
"Quercus texana",34.418584,-97.108369
"Quercus texana",33.697508,-91.484278
"Quercus texana",30.417339,-97.7997
"Quercus texana",32.48372,-97.946497
"Quercus texana",33.674665,-97.619502
"Quercus texana",29.644843,-98.597064
"Quercus texana",29.706151,-98.577178
"Quercus texana",35.46635,-90.79745
"Quercus texana",35.70047,-90.91812
"Quercus texana",34.84499,-92.13999
"Quercus texana",35.67251,-90.41547
"Quercus texana",35.46244,-90.5413
"Quercus texana",35.55469,-90.29223
"Quercus texana",35.46374,-90.54127
"Quercus texana",35.50161,-90.45228
