"species","decimalLatitude","decimalLongitude"
"Quercus virginiana",28.267216,-81.260368
"Quercus virginiana",29.085099,-81.566538
"Quercus virginiana",28.711389,-81.460278
"Quercus virginiana",29.732587,-81.944024
"Quercus virginiana",36.293727,-75.808889
"Quercus virginiana",32.861161,-79.922019
"Quercus virginiana",29.908747,-91.902505
"Quercus virginiana",29.992237,-92.28614
"Quercus virginiana",29.062342,-95.268505
"Quercus virginiana",30.263346,-87.642311
"Quercus virginiana",29.777997,-85.280845
"Quercus virginiana",32.899867,-80.1382
"Quercus virginiana",30.490712,-91.313599
"Quercus virginiana",30.350559,-91.073901
"Quercus virginiana",29.825746,-91.516343
"Quercus virginiana",29.609553,-82.304306
"Quercus virginiana",30.694836,-85.981586
"Quercus virginiana",32.644067,-80.255692
"Quercus virginiana",29.219343,-94.934668
"Quercus virginiana",28.45853,-81.437958
"Quercus virginiana",28.946904,-81.33958
"Quercus virginiana",29.048041,-81.459872
"Quercus virginiana",29.952513,-95.649863
"Quercus virginiana",32.731097,-79.994317
"Quercus virginiana",32.851066,-80.067044
"Quercus virginiana",35.715278,-75.493155
"Quercus virginiana",29.469983,-98.091905
"Quercus virginiana",36.804433,-76.252766
"Quercus virginiana",29.979574,-97.13464
"Quercus virginiana",28.338155,-81.534095
"Quercus virginiana",26.376417,-80.098669
"Quercus virginiana",29.965067,-90.107382
"Quercus virginiana",30.657955,-84.973675
"Quercus virginiana",37.271388,-76.698953
"Quercus virginiana",26.709236,-81.745916
"Quercus virginiana",30.187162,-92.035089
"Quercus virginiana",28.001336,-97.094139
"Quercus virginiana",32.152778,-80.776984
"Quercus virginiana",30.400058,-88.794328
"Quercus virginiana",25.395388,-80.687139
"Quercus virginiana",26.931671,-80.177674
"Quercus virginiana",26.377443,-80.104805
"Quercus virginiana",30.537553,-84.291167
"Quercus virginiana",30.513322,-84.221947
"Quercus virginiana",30.311195,-89.937403
"Quercus virginiana",30.237315,-98.626974
"Quercus virginiana",30.40805,-84.43666
"Quercus virginiana",32.215845,-98.21961
"Quercus virginiana",26.366391,-80.106157
"Quercus virginiana",30.480202,-84.24591
"Quercus virginiana",28.68077,-80.750505
"Quercus virginiana",28.718679,-81.551234
"Quercus virginiana",30.54755,-95.765669
"Quercus virginiana",32.216321,-98.216993
"Quercus virginiana",25.696065,-80.372237
"Quercus virginiana",26.690758,-81.806274
"Quercus virginiana",29.951095,-90.11817
"Quercus virginiana",26.674503,-80.067283
"Quercus virginiana",28.615812,-81.161628
"Quercus virginiana",31.090754,-86.555127
"Quercus virginiana",36.0171,-75.666511
"Quercus virginiana",25.754512,-80.378334
"Quercus virginiana",29.370627,-95.627218
"Quercus virginiana",30.213372,-93.221863
"Quercus virginiana",29.497547,-95.682013
"Quercus virginiana",29.521228,-97.459564
"Quercus virginiana",36.374558,-75.832535
"Quercus virginiana",32.832398,-96.779951
"Quercus virginiana",27.920181,-81.163581
"Quercus virginiana",36.901252,-76.02761
"Quercus virginiana",30.643752,-81.464667
"Quercus virginiana",32.613661,-80.077183
"Quercus virginiana",28.976227,-81.356912
"Quercus virginiana",30.029069,-90.080068
"Quercus virginiana",30.452537,-88.652701
"Quercus virginiana",28.600002,-81.195642
"Quercus virginiana",32.878611,-80.082321
"Quercus virginiana",32.707117,-97.360862
"Quercus virginiana",30.430092,-88.840112
"Quercus virginiana",32.781831,-79.937789
"Quercus virginiana",26.378078,-80.101816
"Quercus virginiana",26.85682,-80.074754
"Quercus virginiana",27.834147,-82.81294
"Quercus virginiana",30.83837,-97.304763
"Quercus virginiana",27.275305,-82.270462
"Quercus virginiana",30.240164,-97.865611
"Quercus virginiana",32.717064,-80.080432
"Quercus virginiana",30.008161,-90.725314
"Quercus virginiana",30.951133,-93.106361
"Quercus virginiana",30.370928,-86.117633
"Quercus virginiana",33.689813,-78.886537
"Quercus virginiana",28.022875,-82.168197
"Quercus virginiana",28.002575,-97.093025
"Quercus virginiana",29.675877,-95.433432
"Quercus virginiana",29.933896,-90.123862
"Quercus virginiana",30.252587,-97.579922
"Quercus virginiana",26.378997,-80.102775
"Quercus virginiana",27.265087,-82.289193
"Quercus virginiana",33.040135,-79.563051
"Quercus virginiana",29.585959,-95.153261
"Quercus virginiana",29.373337,-95.630439
"Quercus virginiana",28.72704,-97.161554
"Quercus virginiana",28.480147,-81.468688
"Quercus virginiana",31.980324,-81.069115
"Quercus virginiana",28.162318,-81.502674
"Quercus virginiana",28.264083,-82.182633
"Quercus virginiana",36.586284,-75.878915
"Quercus virginiana",29.048064,-95.470078
"Quercus virginiana",26.466499,-81.774743
"Quercus virginiana",32.004847,-81.279456
"Quercus virginiana",29.37618,-95.607335
"Quercus virginiana",31.954766,-81.052575
"Quercus virginiana",27.272766,-82.516964
"Quercus virginiana",29.648016,-82.377316
"Quercus virginiana",25.767899,-80.211201
"Quercus virginiana",27.808309,-81.560092
"Quercus virginiana",27.121686,-82.19625
"Quercus virginiana",36.918422,-76.053344
"Quercus virginiana",29.585007,-95.730827
"Quercus virginiana",30.524031,-84.302165
"Quercus virginiana",29.945527,-90.365274
"Quercus virginiana",28.684646,-81.313592
"Quercus virginiana",25.75401,-80.378273
"Quercus virginiana",26.376632,-80.10439
"Quercus virginiana",27.206295,-82.499008
"Quercus virginiana",32.603055,-80.899771
"Quercus virginiana",35.267262,-75.521692
"Quercus virginiana",29.643187,-82.615862
"Quercus virginiana",27.9897,-81.85733
"Quercus virginiana",28.734922,-81.337608
"Quercus virginiana",28.68526,-81.128958
"Quercus virginiana",30.420689,-92.041686
"Quercus virginiana",27.284178,-82.506638
"Quercus virginiana",32.833455,-96.778114
