"species","decimalLatitude","decimalLongitude"
"Triadica sebifera",30.11512,-95.491
"Triadica sebifera",30.313307,-81.702801
"Triadica sebifera",32.930903,-96.844678
"Triadica sebifera",28.110239,-82.619217
"Triadica sebifera",30.338774,-97.74099
"Triadica sebifera",34.228307,-77.859192
"Triadica sebifera",29.9858,-95.57143
"Triadica sebifera",30.44371,-87.333313
"Triadica sebifera",33.214563,-97.151475
"Triadica sebifera",30.391045,-91.171571
"Triadica sebifera",32.876069,-83.656267
"Triadica sebifera",29.218282,-94.933526
"Triadica sebifera",30.060761,-95.333271
"Triadica sebifera",32.654696,-96.920276
"Triadica sebifera",29.895615,-95.696781
"Triadica sebifera",30.494628,-84.308587
"Triadica sebifera",29.699758,-82.352919
"Triadica sebifera",32.131482,-80.813617
"Triadica sebifera",27.792069,-97.398931
"Triadica sebifera",32.370908,-86.305401
"Triadica sebifera",30.085098,-95.376853
"Triadica sebifera",32.778903,-85.886612
"Triadica sebifera",29.937964,-95.739966
"Triadica sebifera",30.664337,-87.93265
"Triadica sebifera",33.052834,-80.141571
"Triadica sebifera",29.683695,-82.432838
"Triadica sebifera",32.555767,-85.469475
"Triadica sebifera",30.750372,-98.675133
"Triadica sebifera",30.389944,-91.169156
"Triadica sebifera",30.43131,-91.089246
"Triadica sebifera",30.230596,-95.497171
"Triadica sebifera",29.815474,-95.537779
"Triadica sebifera",32.632203,-96.921717
"Triadica sebifera",30.673472,-98.441903
"Triadica sebifera",29.751883,-95.538062
"Triadica sebifera",31.992622,-81.169235
"Triadica sebifera",29.721143,-95.735221
"Triadica sebifera",30.444174,-97.618774
"Triadica sebifera",32.660033,-80.582243
"Triadica sebifera",32.840941,-83.602776
"Triadica sebifera",30.451655,-88.656088
"Triadica sebifera",29.394989,-81.381929
"Triadica sebifera",32.736236,-97.200461
"Triadica sebifera",33.402991,-90.977928
"Triadica sebifera",29.588508,-82.363075
"Triadica sebifera",32.18605,-95.845008
"Triadica sebifera",30.464333,-94.349944
"Triadica sebifera",30.623948,-90.285549
"Triadica sebifera",29.370627,-95.627218
"Triadica sebifera",30.810417,-88.060249
"Triadica sebifera",30.136146,-95.167466
"Triadica sebifera",30.09617,-95.40019
"Triadica sebifera",30.701557,-84.854282
"Triadica sebifera",30.585071,-96.300464
"Triadica sebifera",32.19331,-81.081103
"Triadica sebifera",30.55946,-98.425357
"Triadica sebifera",30.284303,-97.778219
"Triadica sebifera",32.90427,-96.848938
"Triadica sebifera",30.276391,-97.735671
"Triadica sebifera",30.524151,-84.352687
"Triadica sebifera",30.512273,-97.693557
"Triadica sebifera",30.133072,-92.038155
"Triadica sebifera",30.453543,-91.1859
"Triadica sebifera",28.644239,-81.307914
"Triadica sebifera",29.663278,-82.366617
"Triadica sebifera",30.0665,-95.531376
"Triadica sebifera",30.37101,-97.814221
"Triadica sebifera",31.978813,-81.221409
"Triadica sebifera",30.674738,-97.73413
"Triadica sebifera",30.587921,-96.30148
"Triadica sebifera",29.099713,-81.082713
"Triadica sebifera",29.6,-95.26
"Triadica sebifera",30.423462,-91.16343
"Triadica sebifera",32.241847,-80.774612
"Triadica sebifera",30.317998,-87.695156
"Triadica sebifera",32.403974,-80.712251
"Triadica sebifera",28.726952,-81.626582
"Triadica sebifera",32.61792,-85.51448
"Triadica sebifera",30.026773,-90.071479
"Triadica sebifera",33.30282,-92.344528
"Triadica sebifera",30.13586,-95.168448
"Triadica sebifera",33.879833,-83.461212
"Triadica sebifera",29.685814,-82.433647
"Triadica sebifera",32.919557,-96.59065
"Triadica sebifera",29.77437,-95.392635
"Triadica sebifera",30.477988,-81.615891
"Triadica sebifera",30.436953,-87.326664
"Triadica sebifera",29.687005,-95.30814
"Triadica sebifera",29.194417,-95.609979
"Triadica sebifera",30.598872,-91.006683
"Triadica sebifera",34.580688,-86.321467
"Triadica sebifera",29.985372,-95.579714
"Triadica sebifera",30.07995,-95.37594
"Triadica sebifera",29.963266,-95.214586
"Triadica sebifera",30.424022,-86.922207
"Triadica sebifera",32.542972,-85.89733
"Triadica sebifera",30.473935,-97.597109
"Triadica sebifera",32.540477,-84.937478
"Triadica sebifera",30.621464,-96.381642
"Triadica sebifera",31.614697,-94.644196
"Triadica sebifera",32.906484,-79.814844
"Triadica sebifera",30.525159,-84.346218
"Triadica sebifera",29.53753,-98.566898
"Triadica sebifera",30.630899,-88.101067
"Triadica sebifera",30.16159,-95.51683
"Triadica sebifera",33.736792,-90.754804
"Triadica sebifera",30.403582,-97.055486
"Triadica sebifera",33.169516,-86.826904
"Triadica sebifera",32.648603,-87.325395
"Triadica sebifera",30.025467,-95.261772
"Triadica sebifera",32.731562,-96.719311
"Triadica sebifera",32.429956,-81.766918
"Triadica sebifera",29.964783,-95.608678
"Triadica sebifera",30.347837,-96.709105
"Triadica sebifera",30.341942,-97.598237
"Triadica sebifera",30.353937,-90.031508
"Triadica sebifera",30.595672,-90.439147
"Triadica sebifera",28.536835,-81.040333
"Triadica sebifera",32.579241,-85.465343
"Triadica sebifera",30.311239,-95.04966
"Triadica sebifera",29.686553,-82.36226
"Triadica sebifera",29.558611,-95.075
"Triadica sebifera",29.98659,-95.57945
"Triadica sebifera",30.20099,-92.034137
"Triadica sebifera",29.595918,-95.555413
"Triadica sebifera",32.810787,-79.986915
"Triadica sebifera",30.502451,-97.660284
"Triadica sebifera",30.383233,-89.057633
"Triadica sebifera",30.693292,-84.9721
"Triadica sebifera",30.527017,-87.237267
"Triadica sebifera",32.566692,-97.137975
"Triadica sebifera",32.968922,-79.983109
"Triadica sebifera",29.886045,-93.938988
"Triadica sebifera",30.074211,-95.744025
"Triadica sebifera",34.228731,-77.861926
"Triadica sebifera",30.706558,-96.464905
"Triadica sebifera",30.503672,-96.264943
"Triadica sebifera",30.045308,-89.954265
"Triadica sebifera",30.491433,-92.193237
"Triadica sebifera",29.790667,-90.105705
"Triadica sebifera",29.98391,-95.5838
"Triadica sebifera",29.98811,-90.151147
"Triadica sebifera",29.96412,-95.61396
"Triadica sebifera",30.642738,-97.680145
"Triadica sebifera",29.677304,-98.10858
"Triadica sebifera",30.509179,-97.757839
"Triadica sebifera",30.795939,-86.569433
"Triadica sebifera",30.150154,-95.518787
"Triadica sebifera",30.096275,-95.398225
"Triadica sebifera",30.20283,-97.8312
"Triadica sebifera",29.642037,-82.349555
"Triadica sebifera",29.779577,-95.250985
"Triadica sebifera",30.423528,-90.479972
"Triadica sebifera",29.620145,-82.32615
"Triadica sebifera",30.253769,-88.105392
"Triadica sebifera",28.086422,-82.076718
"Triadica sebifera",32.42977,-81.76106
"Triadica sebifera",30.538795,-86.472528
"Triadica sebifera",29.152047,-82.044114
"Triadica sebifera",32.583244,-96.829789
"Triadica sebifera",30.026132,-95.286587
"Triadica sebifera",31.342763,-88.9406
"Triadica sebifera",31.28993,-90.00268
"Triadica sebifera",30.09414,-95.39874
"Triadica sebifera",30.303574,-93.743914
"Triadica sebifera",30.462016,-91.077617
"Triadica sebifera",30.393353,-95.690465
"Triadica sebifera",33.189998,-87.478599
"Triadica sebifera",29.560205,-94.388078
"Triadica sebifera",29.734705,-95.68515
"Triadica sebifera",32.753835,-97.258663
"Triadica sebifera",30.114961,-95.490761
"Triadica sebifera",29.753093,-95.048901
"Triadica sebifera",30.459689,-84.322268
"Triadica sebifera",29.697805,-95.876397
"Triadica sebifera",30.347948,-91.093108
"Triadica sebifera",34.418805,-77.843972
"Triadica sebifera",31.615178,-94.6431
"Triadica sebifera",30.261126,-94.525261
"Triadica sebifera",29.964358,-95.6098
"Triadica sebifera",29.513403,-98.585647
"Triadica sebifera",30.615631,-88.279594
"Triadica sebifera",30.166785,-95.717091
"Triadica sebifera",29.662672,-82.242725
