"species","decimalLatitude","decimalLongitude"
"Tsuga canadensis",42.349684,-79.323741
"Tsuga canadensis",45.511375,-89.550262
"Tsuga canadensis",43.136898,-70.942781
"Tsuga canadensis",42.01586,-78.7265
"Tsuga canadensis",42.67049,-72.316708
"Tsuga canadensis",41.06395,-81.354775
"Tsuga canadensis",42.617218,-70.728615
"Tsuga canadensis",39.549195,-77.463303
"Tsuga canadensis",44.882991,-85.852782
"Tsuga canadensis",45.788175,-69.434091
"Tsuga canadensis",43.134171,-70.940647
"Tsuga canadensis",35.817422,-81.180358
"Tsuga canadensis",38.074345,-78.653101
"Tsuga canadensis",45.248727,-88.754804
"Tsuga canadensis",43.535022,-72.126967
"Tsuga canadensis",43.67713,-70.292358
"Tsuga canadensis",43.1792,-70.891512
"Tsuga canadensis",43.513287,-72.108559
"Tsuga canadensis",46.503315,-87.030567
"Tsuga canadensis",43.636352,-72.405487
"Tsuga canadensis",41.90248,-72.71211
"Tsuga canadensis",40.217038,-74.821478
"Tsuga canadensis",41.123161,-81.52192
"Tsuga canadensis",46.84898,-90.606812
"Tsuga canadensis",40.753339,-74.284653
"Tsuga canadensis",39.364319,-76.880704
"Tsuga canadensis",38.406943,-82.448271
"Tsuga canadensis",42.629363,-71.512757
"Tsuga canadensis",40.961232,-73.820571
"Tsuga canadensis",43.506525,-72.095508
"Tsuga canadensis",44.858127,-70.516189
"Tsuga canadensis",42.660563,-72.323365
"Tsuga canadensis",43.197368,-71.663673
"Tsuga canadensis",42.829729,-71.558686
"Tsuga canadensis",42.677649,-72.333497
"Tsuga canadensis",43.436012,-72.726433
"Tsuga canadensis",43.007636,-76.113472
"Tsuga canadensis",43.641453,-74.289558
"Tsuga canadensis",39.883281,-87.205733
"Tsuga canadensis",42.25711,-72.667329
"Tsuga canadensis",43.135588,-70.940589
"Tsuga canadensis",43.50448,-72.10695
"Tsuga canadensis",42.666115,-72.324354
"Tsuga canadensis",42.666009,-72.321117
"Tsuga canadensis",43.505661,-85.569626
"Tsuga canadensis",41.234417,-75.810438
"Tsuga canadensis",42.431878,-78.154133
"Tsuga canadensis",43.623459,-72.503937
"Tsuga canadensis",43.505182,-72.09866
"Tsuga canadensis",43.515154,-72.097649
"Tsuga canadensis",34.761414,-83.926506
"Tsuga canadensis",44.561733,-73.116295
"Tsuga canadensis",43.627942,-72.530053
"Tsuga canadensis",40.758549,-77.750328
"Tsuga canadensis",42.062478,-80.169468
"Tsuga canadensis",39.517022,-79.471963
"Tsuga canadensis",43.51565,-72.113744
