"species","decimalLatitude","decimalLongitude"
"Tsuga caroliniana",35.593248,-82.482354
"Tsuga caroliniana",36.395055,-80.26538
"Tsuga caroliniana",35.832411,-81.902753
"Tsuga caroliniana",35.585153,-82.307273
"Tsuga caroliniana",35.403151,-82.754567
"Tsuga caroliniana",36.113687,-81.661027
"Tsuga caroliniana",35.533438,-82.910691
"Tsuga caroliniana",35.930463,-81.910735
"Tsuga caroliniana",35.298186,-83.146706
"Tsuga caroliniana",35.269044,-82.787683
"Tsuga caroliniana",36.396584,-80.254601
"Tsuga caroliniana",35.496526,-82.607458
"Tsuga caroliniana",35.263039,-82.457767
"Tsuga caroliniana",35.588539,-82.339611
"Tsuga caroliniana",35.878038,-81.904098
"Tsuga caroliniana",36.270278,-82.12915
"Tsuga caroliniana",36.051429,-81.860693
"Tsuga caroliniana",35.619695,-82.261289
"Tsuga caroliniana",35.457091,-82.172668
"Tsuga caroliniana",36.087421,-81.841206
"Tsuga caroliniana",36.396151,-80.269723
"Tsuga caroliniana",35.088497,-83.134072
"Tsuga caroliniana",35.918163,-81.887695
"Tsuga caroliniana",35.273237,-82.453155
"Tsuga caroliniana",35.940137,-81.93003
"Tsuga caroliniana",36.406615,-81.467397
"Tsuga caroliniana",35.084434,-83.134428
"Tsuga caroliniana",35.462138,-82.359817
"Tsuga caroliniana",36.291479,-81.587649
"Tsuga caroliniana",35.839938,-81.895539
"Tsuga caroliniana",35.286636,-82.736083
"Tsuga caroliniana",35.569597,-82.337283
"Tsuga caroliniana",36.087355,-81.841109
"Tsuga caroliniana",37.34273,-80.370125
"Tsuga caroliniana",35.46108,-82.364412
"Tsuga caroliniana",36.403008,-81.462687
"Tsuga caroliniana",35.52627,-82.928174
"Tsuga caroliniana",37.34273,-80.36988
"Tsuga caroliniana",35.429253,-83.200687
"Tsuga caroliniana",35.310647,-83.17737
"Tsuga caroliniana",35.903966,-81.905206
"Tsuga caroliniana",35.236865,-82.516611
"Tsuga caroliniana",36.396911,-80.254414
"Tsuga caroliniana",37.432878,-79.604839
"Tsuga caroliniana",36.392409,-81.560999
"Tsuga caroliniana",35.770967,-82.154519
"Tsuga caroliniana",35.304725,-82.794989
"Tsuga caroliniana",35.913183,-81.88622
"Tsuga caroliniana",36.10072,-82.450583
"Tsuga caroliniana",36.396213,-80.255447
"Tsuga caroliniana",35.657696,-82.282513
"Tsuga caroliniana",37.37564,-80.52296
"Tsuga caroliniana",37.37578,-80.52408
"Tsuga caroliniana",35.626623,-82.245018
"Tsuga caroliniana",35.927457,-81.954547
"Tsuga caroliniana",35.301413,-82.789828
"Tsuga caroliniana",36.422583,-81.580247
"Tsuga caroliniana",36.391527,-80.266163
"Tsuga caroliniana",36.460957,-81.488717
"Tsuga caroliniana",35.744748,-82.278222
"Tsuga caroliniana",35.425943,-82.756796
"Tsuga caroliniana",35.070732,-83.166288
"Tsuga caroliniana",35.409551,-82.856243
"Tsuga caroliniana",35.052591,-83.196817
"Tsuga caroliniana",35.877276,-82.184738
"Tsuga caroliniana",35.890929,-81.882506
"Tsuga caroliniana",36.276791,-81.527564
"Tsuga caroliniana",35.429897,-82.296912
"Tsuga caroliniana",35.134661,-83.096534
"Tsuga caroliniana",37.45117,-79.581309
"Tsuga caroliniana",36.105505,-81.305223
