"species","decimalLatitude","decimalLongitude"
"Ulmus alata",33.116358,-83.688933
"Ulmus alata",32.662807,-94.151559
"Ulmus alata",30.09962,-95.41727
"Ulmus alata",33.307791,-97.041387
"Ulmus alata",36.419505,-90.624113
"Ulmus alata",35.917098,-79.06445
"Ulmus alata",37.68511,-89.396436
"Ulmus alata",34.675828,-82.782105
"Ulmus alata",30.992517,-93.498328
"Ulmus alata",33.806092,-84.299538
"Ulmus alata",29.613494,-82.406249
"Ulmus alata",36.518937,-94.335237
"Ulmus alata",35.903834,-79.036479
"Ulmus alata",33.772258,-84.320763
"Ulmus alata",33.668459,-84.119866
"Ulmus alata",35.863363,-94.307695
"Ulmus alata",30.564783,-96.214546
"Ulmus alata",33.755895,-84.316078
"Ulmus alata",34.663992,-83.300558
"Ulmus alata",37.17806,-93.919138
"Ulmus alata",36.445887,-91.209848
"Ulmus alata",29.98792,-95.56498
"Ulmus alata",37.359967,-88.424758
"Ulmus alata",33.146489,-96.938538
"Ulmus alata",35.943525,-79.076962
"Ulmus alata",36.846897,-88.086594
"Ulmus alata",36.15947,-79.484847
"Ulmus alata",37.087055,-91.094899
"Ulmus alata",35.910304,-79.0558
"Ulmus alata",33.925928,-83.375818
"Ulmus alata",34.864222,-81.186808
"Ulmus alata",35.460813,-83.434429
"Ulmus alata",30.190472,-95.58438
"Ulmus alata",35.229368,-80.860128
"Ulmus alata",33.659854,-84.121191
"Ulmus alata",35.913076,-79.044708
"Ulmus alata",35.910372,-78.9085
"Ulmus alata",36.06197,-95.990234
"Ulmus alata",31.911669,-95.898669
"Ulmus alata",35.894852,-78.579037
"Ulmus alata",32.66045,-85.487342
"Ulmus alata",37.820714,-94.301014
"Ulmus alata",37.183333,-93.6
"Ulmus alata",37.833333,-94.3
"Ulmus alata",36.922,-94.91385
"Ulmus alata",32.24815,-98.210033
"Ulmus alata",35.870505,-78.730362
"Ulmus alata",33.671001,-84.119011
"Ulmus alata",30.0675,-95.21
"Ulmus alata",33.810103,-97.007364
"Ulmus alata",35.291651,-92.478531
"Ulmus alata",37.352938,-88.920128
"Ulmus alata",35.1133,-81.25724
"Ulmus alata",36.135851,-78.71267
"Ulmus alata",32.088298,-95.89317
"Ulmus alata",36.034353,-94.808239
"Ulmus alata",36.081331,-78.91517
"Ulmus alata",32.581097,-85.472192
"Ulmus alata",36.053893,-79.480944
"Ulmus alata",31.87969,-89.739475
"Ulmus alata",27.426836,-80.406309
"Ulmus alata",36.102474,-86.531819
"Ulmus alata",35.683674,-82.080445
"Ulmus alata",33.19337,-79.969352
"Ulmus alata",32.147987,-94.794319
"Ulmus alata",36.754044,-78.734506
"Ulmus alata",29.758748,-95.447981
"Ulmus alata",35.146685,-84.6645
"Ulmus alata",31.361758,-89.280455
"Ulmus alata",36.68532,-92.95285
"Ulmus alata",32.53977,-92.068622
"Ulmus alata",34.012722,-84.360197
"Ulmus alata",34.355448,-89.327725
"Ulmus alata",35.98,-90.717
"Ulmus alata",33.187525,-92.968078
"Ulmus alata",29.643763,-82.357483
"Ulmus alata",33.775439,-84.320513
"Ulmus alata",33.942798,-81.042356
"Ulmus alata",34.903561,-81.015294
"Ulmus alata",36.847745,-88.078986
"Ulmus alata",35.133869,-89.804831
"Ulmus alata",34.29396,-94.176893
"Ulmus alata",33.349048,-93.183541
"Ulmus alata",29.769737,-95.619862
"Ulmus alata",33.225448,-96.949727
"Ulmus alata",30.205253,-95.545587
"Ulmus alata",37.387456,-77.581637
"Ulmus alata",35.1822,-92.471833
"Ulmus alata",35.985721,-79.062831
"Ulmus alata",35.948239,-79.321326
"Ulmus alata",30.787003,-91.217012
"Ulmus alata",29.765383,-95.450317
"Ulmus alata",35.924912,-79.053442
"Ulmus alata",31.406443,-96.099198
"Ulmus alata",30.582208,-96.398403
"Ulmus alata",32.205708,-95.207893
"Ulmus alata",31.182053,-95.978088
"Ulmus alata",36.324194,-87.641868
"Ulmus alata",34.723486,-82.804621
"Ulmus alata",29.989166,-95.587837
"Ulmus alata",35.254828,-93.171181
"Ulmus alata",35.980678,-79.015822
"Ulmus alata",30.25923,-95.56071
"Ulmus alata",36.072845,-95.996322
"Ulmus alata",34.574401,-93.442442
"Ulmus alata",30.619616,-96.311478
"Ulmus alata",37.273175,-90.521028
"Ulmus alata",36.208044,-96.063994
"Ulmus alata",33.705609,-96.98287
"Ulmus alata",30.574105,-96.263998
"Ulmus alata",30.160989,-95.515992
"Ulmus alata",35.62997,-79.047561
"Ulmus alata",29.826619,-82.598775
"Ulmus alata",33.437829,-83.828303
"Ulmus alata",35.941667,-79.054725
"Ulmus alata",36.894361,-88.101348
"Ulmus alata",33.579858,-91.984517
"Ulmus alata",36.902454,-88.03526
"Ulmus alata",30.204291,-96.015738
"Ulmus alata",35.443775,-80.004332
"Ulmus alata",34.818886,-92.46996
"Ulmus alata",33.84787,-84.282995
"Ulmus alata",33.075536,-83.25551
"Ulmus alata",36.175777,-94.671036
"Ulmus alata",32.308369,-95.214516
"Ulmus alata",33.826751,-84.242455
"Ulmus alata",29.554956,-95.586272
"Ulmus alata",34.134041,-83.085647
"Ulmus alata",30.15311,-95.5674
"Ulmus alata",33.03739,-85.000896
"Ulmus alata",36.138242,-85.61753
"Ulmus alata",35.834008,-78.963417
"Ulmus alata",35.327652,-93.217049
"Ulmus alata",37.545578,-88.979728
"Ulmus alata",33.671995,-84.118744
"Ulmus alata",36.077044,-86.398704
"Ulmus alata",34.38277,-85.628525
"Ulmus alata",36.180242,-79.1409
"Ulmus alata",30.697201,-95.606079
"Ulmus alata",37.528111,-88.975989
"Ulmus alata",32.552461,-85.476102
"Ulmus alata",34.651337,-82.836517
"Ulmus alata",35.993195,-94.182121
"Ulmus alata",36.553592,-87.142355
"Ulmus alata",29.678572,-82.385189
"Ulmus alata",29.677181,-95.440454
"Ulmus alata",36.333437,-78.449562
"Ulmus alata",30.967432,-95.905243
"Ulmus alata",37.626484,-90.089759
"Ulmus alata",33.087517,-96.896897
"Ulmus alata",37.557975,-77.945781
"Ulmus alata",37.36162,-88.922368
"Ulmus alata",35.475254,-86.093874
"Ulmus alata",30.10849,-95.46066
"Ulmus alata",35.303695,-85.179603
"Ulmus alata",34.2198,-86.658188
"Ulmus alata",33.215729,-86.318291
"Ulmus alata",35.696348,-79.015032
"Ulmus alata",29.978453,-95.588828
"Ulmus alata",35.936872,-79.067792
"Ulmus alata",30.493576,-95.600019
"Ulmus alata",35.970103,-79.268407
"Ulmus alata",32.705148,-91.948211
"Ulmus alata",32.855988,-97.479747
"Ulmus alata",32.271495,-94.563113
"Ulmus alata",32.734562,-95.572944
"Ulmus alata",30.644228,-96.294755
"Ulmus alata",34.432991,-80.859904
"Ulmus alata",30.462543,-91.117373
"Ulmus alata",36.777635,-88.063098
"Ulmus alata",32.811767,-95.594197
"Ulmus alata",33.624721,-84.17116
"Ulmus alata",32.480653,-90.191805
"Ulmus alata",33.85,-86.57
"Ulmus alata",35.917753,-79.064749
"Ulmus alata",30.06227,-95.34144
"Ulmus alata",35.884313,-78.536725
"Ulmus alata",34.085281,-81.135811
"Ulmus alata",34.499053,-86.661255
"Ulmus alata",36.054477,-78.780784
"Ulmus alata",35.497784,-95.920952
"Ulmus alata",29.76504,-95.453017
"Ulmus alata",30.591666,-96.335727
"Ulmus alata",29.805527,-97.183832
"Ulmus alata",37.528002,-88.976203
"Ulmus alata",30.070131,-95.739075
"Ulmus alata",33.087714,-96.898863
"Ulmus alata",36.249008,-78.698333
"Ulmus alata",30.471475,-90.993622
"Ulmus alata",30.444504,-84.30417
"Ulmus alata",30.292736,-95.320567
"Ulmus alata",34.670429,-80.52514
"Ulmus alata",33.376154,-97.016146
"Ulmus alata",30.4673,-91.014492
"Ulmus alata",36.095772,-79.5037
"Ulmus alata",33.465651,-93.993075
"Ulmus alata",30.635575,-95.513939
"Ulmus alata",29.576207,-95.095463
"Ulmus alata",37.52327,-89.127517
"Ulmus alata",36.942855,-88.185169
"Ulmus alata",35.615697,-79.050747
"Ulmus alata",35.435945,-90.804588
"Ulmus alata",34.537964,-92.709106
"Ulmus alata",30.595862,-82.696247
"Ulmus alata",30.358885,-96.715492
"Ulmus alata",33.059079,-95.090589
"Ulmus alata",35.162813,-93.616043
"Ulmus alata",34.782517,-94.950985
"Ulmus alata",35.071226,-80.967395
"Ulmus alata",34.630997,-86.559489
"Ulmus alata",33.780897,-96.019125
"Ulmus alata",35.626696,-95.95154
"Ulmus alata",35.983094,-92.745458
"Ulmus alata",33.999419,-92.833192
"Ulmus alata",35.912946,-79.044388
"Ulmus alata",33.456013,-84.359413
"Ulmus alata",34.583957,-93.457237
"Ulmus alata",35.837178,-84.007158
"Ulmus alata",35.105267,-86.16945
"Ulmus alata",29.781884,-95.246339
"Ulmus alata",31.736559,-89.01753
"Ulmus alata",35.978301,-90.715173
"Ulmus alata",36.257341,-89.352025
"Ulmus alata",36.263557,-95.592926
"Ulmus alata",35.034763,-80.944616
"Ulmus alata",36.144354,-92.337157
"Ulmus alata",36.739103,-93.36429
"Ulmus alata",33.406015,-91.562763
"Ulmus alata",32.856065,-97.479217
"Ulmus alata",28.700953,-82.42636
"Ulmus alata",33.19851,-87.003667
"Ulmus alata",32.672438,-88.189587
"Ulmus alata",35.487058,-86.085903
"Ulmus alata",32.836442,-83.600463
"Ulmus alata",35.082506,-84.492508
"Ulmus alata",34.593453,-94.314503
"Ulmus alata",36.161407,-94.377675
"Ulmus alata",32.471875,-95.299933
"Ulmus alata",32.92895,-95.721817
"Ulmus alata",35.943761,-79.138259
"Ulmus alata",35.766537,-90.698903
"Ulmus alata",33.84851,-84.283545
"Ulmus alata",36.048397,-79.426078
"Ulmus alata",37.23526,-86.228596
"Ulmus alata",34.875572,-85.189788
"Ulmus alata",35.957925,-83.542695
"Ulmus alata",35.963199,-94.903442
"Ulmus alata",36.012654,-78.68906
"Ulmus alata",36.90121,-88.038752
"Ulmus alata",33.519315,-94.648608
"Ulmus alata",30.09578,-95.39975
"Ulmus alata",36.076644,-79.007964
"Ulmus alata",35.034707,-83.018044
"Ulmus alata",37.178904,-78.456207
"Ulmus alata",36.230315,-94.964906
"Ulmus alata",31.880611,-95.420479
"Ulmus alata",33.850982,-84.285157
"Ulmus alata",33.238529,-89.875109
"Ulmus alata",31.94463,-95.252525
"Ulmus alata",35.613256,-82.571388
"Ulmus alata",35.794447,-78.533041
"Ulmus alata",30.197058,-95.483628
"Ulmus alata",33.689404,-96.729126
"Ulmus alata",30.427101,-91.030476
"Ulmus alata",32.846568,-95.999179
"Ulmus alata",33.837982,-84.290148
"Ulmus alata",35.9132,-79.055844
"Ulmus alata",36.85674,-94.78773
"Ulmus alata",33.969298,-82.991963
"Ulmus alata",34.771427,-96.656981
"Ulmus alata",34.0839,-82.6697
"Ulmus alata",35.319501,-87.833357
"Ulmus alata",35.964128,-84.282588
"Ulmus alata",33.401222,-97.566697
"Ulmus alata",35.358303,-93.997499
"Ulmus alata",31.789539,-95.641365
