"species","decimalLatitude","decimalLongitude"
"Ulmus americana",44.145971,-92.074881
"Ulmus americana",32.844063,-96.571816
"Ulmus americana",43.77201,-73.05952
"Ulmus americana",32.876247,-97.164825
"Ulmus americana",30.168456,-97.753214
"Ulmus americana",44.919839,-71.464165
"Ulmus americana",33.05575,-96.732324
"Ulmus americana",30.855117,-96.967074
"Ulmus americana",41.415,-81.452678
"Ulmus americana",41.799705,-88.005638
"Ulmus americana",42.799281,-70.847409
"Ulmus americana",45.187415,-85.045867
"Ulmus americana",40.325897,-74.613253
"Ulmus americana",32.827274,-97.459477
"Ulmus americana",41.217015,-81.524482
"Ulmus americana",29.766328,-95.451905
"Ulmus americana",32.568515,-97.131715
"Ulmus americana",44.410598,-72.198653
"Ulmus americana",44.411177,-73.24203
"Ulmus americana",29.95719,-97.154216
"Ulmus americana",32.876678,-97.170045
"Ulmus americana",42.238294,-71.607516
"Ulmus americana",34.964874,-82.846119
"Ulmus americana",29.561611,-94.391542
"Ulmus americana",30.262114,-97.755724
"Ulmus americana",36.053261,-94.225472
"Ulmus americana",31.082243,-96.08204
"Ulmus americana",43.109646,-88.411896
"Ulmus americana",41.08751,-81.636387
"Ulmus americana",46.784731,-89.102939
"Ulmus americana",44.859961,-93.214033
"Ulmus americana",38.343723,-81.837868
"Ulmus americana",33.257269,-96.656756
"Ulmus americana",30.361534,-81.408013
"Ulmus americana",44.372238,-72.49125
"Ulmus americana",32.988773,-96.824253
"Ulmus americana",43.562728,-72.347192
"Ulmus americana",35.753649,-93.980019
"Ulmus americana",33.196191,-96.661532
"Ulmus americana",44.311772,-72.474395
"Ulmus americana",44.221704,-73.315289
"Ulmus americana",39.891222,-75.259002
"Ulmus americana",39.477894,-77.277209
"Ulmus americana",32.807716,-96.778602
"Ulmus americana",32.782605,-97.128953
"Ulmus americana",33.174137,-97.126205
"Ulmus americana",30.356431,-95.700621
"Ulmus americana",30.383389,-97.025906
"Ulmus americana",40.672633,-81.641445
"Ulmus americana",29.580622,-95.09398
"Ulmus americana",29.58926,-95.147857
"Ulmus americana",32.766647,-96.826387
"Ulmus americana",44.635384,-88.020088
"Ulmus americana",32.748376,-97.270445
"Ulmus americana",42.335923,-72.918688
"Ulmus americana",42.790639,-73.795324
"Ulmus americana",30.690399,-97.81082
"Ulmus americana",33.186897,-97.174247
"Ulmus americana",41.143067,-82.232537
"Ulmus americana",30.566142,-88.626306
"Ulmus americana",40.867838,-73.87654
"Ulmus americana",32.849616,-97.489562
"Ulmus americana",32.685725,-97.374898
"Ulmus americana",33.341784,-97.600901
"Ulmus americana",33.078394,-96.720292
"Ulmus americana",46.595558,-90.96543
"Ulmus americana",42.290072,-83.717103
"Ulmus americana",30.620167,-98.071708
"Ulmus americana",30.620103,-98.071608
"Ulmus americana",45.290834,-93.128291
"Ulmus americana",43.583728,-85.064614
"Ulmus americana",41.896718,-87.832185
"Ulmus americana",33.040671,-97.048911
"Ulmus americana",44.864905,-73.29723
"Ulmus americana",30.378814,-97.782168
"Ulmus americana",32.296647,-95.295185
"Ulmus americana",37.315825,-95.641556
"Ulmus americana",37.42147,-94.75539
"Ulmus americana",37.4116,-94.76867
"Ulmus americana",37.454954,-94.7135
"Ulmus americana",37.3328,-94.8003
"Ulmus americana",37.02068,-94.7217
"Ulmus americana",36.877167,-94.9225
"Ulmus americana",37.766667,-94.816667
"Ulmus americana",37.473319,-94.701503
"Ulmus americana",37.916667,-94.65
"Ulmus americana",37.033333,-96.983333
"Ulmus americana",37.333333,-95.083333
"Ulmus americana",37.378786,-94.709089
"Ulmus americana",37.35553,-95.62799
"Ulmus americana",37.289,-95.7721
"Ulmus americana",36.50288,-90.60278
"Ulmus americana",37.52833,-94.58
"Ulmus americana",38.92361,-92.31472
"Ulmus americana",32.740346,-97.363602
"Ulmus americana",32.21762,-98.215193
"Ulmus americana",31.26842,-98.6214
"Ulmus americana",32.215017,-98.10245
"Ulmus americana",31.818597,-98.027428
"Ulmus americana",32.22387,-98.20012
"Ulmus americana",32.324995,-98.652784
"Ulmus americana",32.214234,-98.202326
"Ulmus americana",31.713462,-98.982573
"Ulmus americana",32.292824,-98.028529
"Ulmus americana",32.40659,-97.335376
"Ulmus americana",31.851678,-97.309416
"Ulmus americana",32.53463,-98.59541
"Ulmus americana",32.24815,-98.210033
"Ulmus americana",31.25725,-98.60069
"Ulmus americana",31.426633,-98.855667
"Ulmus americana",38.884073,-77.038325
"Ulmus americana",38.921827,-77.019573
"Ulmus americana",38.912624,-76.94214
"Ulmus americana",30.537925,-91.064421
"Ulmus americana",33.083707,-97.119787
"Ulmus americana",31.070609,-98.173755
"Ulmus americana",41.339341,-88.179665
"Ulmus americana",29.423854,-95.24114
"Ulmus americana",29.610272,-95.346865
"Ulmus americana",41.033756,-74.126175
"Ulmus americana",44.96719,-93.39019
"Ulmus americana",33.013504,-97.177696
"Ulmus americana",33.042186,-97.15078
"Ulmus americana",32.757141,-97.138951
"Ulmus americana",30.169711,-95.491947
"Ulmus americana",35.686117,-97.513057
"Ulmus americana",43.090217,-89.339111
"Ulmus americana",30.260631,-97.692167
"Ulmus americana",32.742197,-97.356645
"Ulmus americana",32.883939,-96.747728
"Ulmus americana",33.130778,-96.812622
"Ulmus americana",32.877505,-97.168738
"Ulmus americana",43.042939,-89.426224
"Ulmus americana",44.382731,-72.552839
"Ulmus americana",32.965476,-96.656525
"Ulmus americana",33.161095,-96.618263
"Ulmus americana",32.915849,-96.949591
"Ulmus americana",42.291664,-71.426895
"Ulmus americana",43.625341,-72.35251
"Ulmus americana",46.760464,-69.287811
"Ulmus americana",29.711416,-98.135633
"Ulmus americana",32.735467,-97.362168
"Ulmus americana",40.801003,-75.310333
"Ulmus americana",31.228137,-97.532708
"Ulmus americana",43.057701,-89.382358
"Ulmus americana",41.880146,-80.173659
"Ulmus americana",33.132553,-97.155594
"Ulmus americana",32.820128,-97.111986
"Ulmus americana",30.53947,-97.01001
"Ulmus americana",32.603374,-95.34211
"Ulmus americana",40.712594,-73.932534
"Ulmus americana",41.379298,-81.526644
