"species","decimalLatitude","decimalLongitude","ph_d0_100","clay_d0_100","sand_d0_100","silt_d0_100","db_d0_100","ec_d0_100","texture_d0_100","elevation"
"Ulmus rubra",33.051448,-96.671067,8.2,39,30.3,30.7,1.35,0,"Clay Loam",166.7655029
"Ulmus rubra",36.057006,-86.799461,5.92135135135135,41.9135135135135,14.7135135135135,43.372972972973,1.38327027027027,0.1,"Silty Clay",242.3353577
"Ulmus rubra",40.894697,-74.011412,5.05555555555556,11.4666666666667,63.5022222222222,25.0311111111111,1.29777777777778,0,"Sandy Loam",27.34194183
"Ulmus rubra",42.989316,-91.071543,6.39257142857143,19.3228571428571,17.89,62.7871428571429,1.46288571428571,0,"Silt Loam",260.138916
"Ulmus rubra",40.128422,-87.734153,7.524,27.415,23.445,49.14,1.456,0,"Clay Loam",171.2382813
"Ulmus rubra",45.743716,-97.229447,7.58875,28.7575,28.80825,42.43425,1.370425,1.1225,"Clay Loam",527.0504761
"Ulmus rubra",33.256897,-96.653513,8.2,42.64,10.67,46.69,1.4139,0.8,"Silty Clay",186.5200653
"Ulmus rubra",42.399589,-76.566719,6.3675,13.81,52.7165,33.4735,1.3955,0,"Other",207.1519623
"Ulmus rubra",37.153827,-91.441507,6.44,8.0125,76.9725,15.015,1.552825,0.2,"Sandy Loam",203.6543732
"Ulmus rubra",35.304118,-83.207247,5.339,17.96,51.34,30.7,1.4992,0,"Loam",692.8019409
"Ulmus rubra",36.658306,-94.071994,5.8336569579288,33.3954692556634,14.2640776699029,52.3404530744337,1.37275080906149,0.2,"Silty Clay Loam",390.7226257
"Ulmus rubra",42.991028,-90.177321,6.08246575342466,31.5876712328767,7.53917808219178,60.8731506849315,1.38947945205479,0,"Silty Clay Loam",368.0978699
"Ulmus rubra",42.039837,-75.025147,4.8,9.12,62.982,27.898,1.47,0,"Sandy Loam",335.0187073
"Ulmus rubra",39.348197,-82.034514,6.2,25.51,23.888,50.602,1.473,0,"Silt Loam",203.544281
"Ulmus rubra",42.081828,-87.862548,7.04666666666667,39.0733333333333,9.22,51.7066666666667,1.5553,0.133333333333333,"Silty Clay",206.0036163
"Ulmus rubra",33.080869,-96.725372,8.2,45,7,48,1.39378378378378,0.727,"Silty Clay",194.8366547
"Ulmus rubra",33.053065,-96.66825,8.2,39,30.3,30.7,1.35,0,"Clay Loam",166.3580933
"Ulmus rubra",35.98916,-79.048344,5,35.1,23.5,41.4,1.45,0,"Silty Clay",128.3427887
"Ulmus rubra",37.45,-94.7,6.3884,40.614,10.2982,49.0878,1.38688,1.936,"Silty Clay",289.8296204
"Ulmus rubra",37.333333,-95.083333,6.4095,34.8075,9.21,55.9825,1.446975,1,"Silty Clay Loam",254.8522491
"Ulmus rubra",37.916667,-94.65,6.49046321525886,43.4141689373297,7.08446866485014,49.5013623978202,1.31599455040872,1,"Silty Clay",257.3890686
"Ulmus rubra",37.453056,-94.710556,6.13984375,36.328125,19.1177083333333,44.5541666666667,1.42638020833333,2.01041666666667,"Silty Clay",279.4936218
