,Microclimate,Topography,Soil,combo.letter,clim.topo.letter,micro.soil.letter,topo.soil.letter
Platanus occidentalis,generalists,generalists,generalists,a,a,a,a
Morus rubra,overdisper.shifter,generalists,generalists,l,d,f,a
Quercus ellipsoidalis,overdisper.shifter,generalists,generalists,l,d,f,a
Quercus marilandica,overdisper.shifter,generalists,generalists,l,d,f,a
Diospyros virginiana,overdisperser,generalists,generalists,bb,h,k,a
Pinus echinata,overdisperser,generalists,generalists,bb,h,k,a
Quercus nigra,generalists,generalists,overdisperser,b,a,c,b
Pinus taeda,overdisper.shifter,generalists,overdisperser,m,d,h,b
Quercus falcata,overdisper.shifter,generalists,overdisperser,m,d,h,b
Ulmus alata,overdisperser,generalists,overdisperser,cc,h,m,b
Carya ovata,generalists,generalists,shifting,c,a,d,c
Annona glabra,overdisper.shifter,generalists,shifting,n,d,i,c
Betula populifolia,overdisper.shifter,generalists,shifting,n,d,i,c
Liriodendron tulipifera,overdisper.shifter,generalists,shifting,n,d,i,c
Pinus clausa,overdisper.shifter,generalists,shifting,n,d,i,c
Quercus pagoda,overdisper.shifter,generalists,shifting,n,d,i,c
Tsuga canadensis,overdisper.shifter,generalists,shifting,n,d,i,c
Magnolia grandiflora,overdisperser,generalists,shifting,dd,h,n,c
Carya glabra,shifting,generalists,shifting,mm,k,s,c
Carpinus caroliniana,generalists,generalists,specialists,d,a,e,d
Sassafras albidum,generalists,generalists,specialists,d,a,e,d
Chamaecyparis thyoides,overdisper.shifter,generalists,specialists,o,d,j,d
Ostrya virginiana,overdisper.shifter,generalists,specialists,o,d,j,d
Asimina triloba,overdisperser,generalists,specialists,ee,h,o,d
Carya alba,generalists,overdisper.shifter,generalists,e,b,a,e
Acer leucoderme,overdisper.shifter,overdisper.shifter,generalists,p,e,f,e
Acer nigrum,overdisper.shifter,overdisper.shifter,generalists,p,e,f,e
Fraxinus quadrangulata,overdisper.shifter,overdisper.shifter,generalists,p,e,f,e
Gymnocladus dioicus,overdisper.shifter,overdisper.shifter,generalists,p,e,f,e
Carya texana,shifting,overdisper.shifter,generalists,nn,l,p,e
Fraxinus albicans,overdisper.shifter,overdisper.shifter,overdisper.shifter,q,e,g,f
Nyssa aquatica,overdisper.shifter,overdisper.shifter,overdisper.shifter,q,e,g,f
Nyssa ogeche,overdisper.shifter,overdisper.shifter,overdisper.shifter,q,e,g,f
Planera aquatica,overdisper.shifter,overdisper.shifter,overdisper.shifter,q,e,g,f
Quercus sinuata,overdisper.shifter,overdisper.shifter,overdisper.shifter,q,e,g,f
Pinus virginiana,overdisper.shifter,overdisper.shifter,overdisperser,r,e,h,f
Ulmus thomasii,overdisper.shifter,overdisper.shifter,overdisperser,r,e,h,f
Prunus americana,overdisperser,overdisper.shifter,overdisperser,ff,i,m,f
Fraxinus americana,generalists,overdisper.shifter,shifting,f,b,d,g
Juglans cinerea,generalists,overdisper.shifter,shifting,f,b,d,g
Magnolia macrophylla,generalists,overdisper.shifter,shifting,f,b,d,g
Paulownia tomentosa,generalists,overdisper.shifter,shifting,f,b,d,g
Abies fraseri,overdisper.shifter,overdisper.shifter,shifting,s,e,i,g
