"","species","Intercept","Intercept.p.value","Slope","Slope.p.value","R2","R2.p.value","F.value","F.test.p.value","SES.intercept","SES.slope","SES.R2","Rank.intercept","Rank.slope","Rank.R2","P.val.intercept","P.val.slope","P.val.R2","Category","significant"
"R2","Abies fraseri",0.125950457703436,1,0.00898034158691558,0.001,0.157657800331016,0.001,59369.7964032335,0.001,-40.1942156388909,592.549723921104,31.5903413417813,1,1000,1000,0.001,1,1,"shifting","significant"
"R21","Acer barbatum",0.274779022562991,1,0.000536107350797617,0.001,0.0256460232535695,0.001,639.812171064812,0.001,16.7623897979534,7.5276106073623,-9.07330816787039,1000,1000,1,1,1,0.001,"overdisper.shifter","non-significant"
"R22","Acer leucoderme",0.275027476747925,1,0.000438649875002361,0.001,0.0179971756670061,0.001,602.848669801538,0.001,16.8574730704003,0.775692451883144,-11.4293862716466,1000,781,1,1,0.781,0.001,"generalists","non-significant"
"R23","Acer negundo",0.226719966925221,1,0.000256403508195315,0.001,0.0343639155130034,0.001,19032715.0172205,0.001,-1.62978291573835,-11.8504559556514,-6.38793173291373,49,1,1,0.049,0.001,0.001,"specialists","non-significant"
"R24","Acer nigrum",0.231746500746055,1,0.000609595656125185,0.001,0.0426888145128772,0.001,22721.7512373124,0.001,0.293868661620883,12.6189288352119,-3.82360919572434,605,1000,1,0.605,1,0.001,"generalists","non-significant"
"R25","Acer pensylvanicum",0.182049672900029,1,0.000550457085804237,0.001,0.0539309797163089,0.001,4967433.27557964,0.001,-18.7250785261048,8.52176970626058,-0.360679783799545,1,1000,349,0.001,1,0.349,"shifting","non-significant"
"R26","Acer rubrum",0.11256333241709,1,0.00107152971295474,0.001,0.2642494975662,0.001,363637767.502112,0.001,-45.317460720153,44.6220247443862,64.4238317542889,1,1000,1000,0.001,1,1,"shifting","significant"
"R27","Acer saccharinum",0.0610471978447266,1,0.00176752252125838,0.001,0.439524093219505,0.001,793982843.562062,0.001,-65.0326555366748,92.8408652193929,118.413747528323,1,1000,1000,0.001,1,1,"shifting","significant"
"R28","Acer saccharum",0.119085944301818,1,0.00136038298256669,0.001,0.272917192851312,0.001,163954383.363983,0.001,-42.8212609356109,64.6339696408431,67.0937459917397,1,1000,1000,0.001,1,1,"shifting","significant"
"R29","Aesculus glabra",0.224345642470149,1,0.000586587047170781,0.001,0.0532485315928468,0.001,246807.390726722,0.001,-2.53843550735746,11.0248772423107,-0.570894598836099,10,1000,280,0.01,1,0.28,"shifting","non-significant"
"R211","Annona glabra",0.180932606434103,1,0.00197618320740373,0.001,0.00699538910925679,0.001,5385.39608111371,0.001,-19.1525792146085,107.297015079865,-14.818271736781,1,1000,1,0.001,1,0.001,"shifting","non-significant"
